class,precision,recall,f1,support
Acontecer,1.0,1.0,1.0,40.0
Aluno,1.0,1.0,1.0,30.0
Amarelo,1.0,1.0,1.0,30.0
America,1.0,1.0,1.0,40.0
Aproveitar,1.0,1.0,1.0,30.0
Bala,1.0,1.0,1.0,30.0
Banco,1.0,1.0,1.0,30.0
Banheiro,1.0,1.0,1.0,40.0
Barulho,1.0,0.975,0.9873417721518988,40.0
Cinco,0.975609756097561,1.0,0.9876543209876543,40.0
Conhecer,1.0,0.875,0.9333333333333333,40.0
Espelho,0.8695652173913043,1.0,0.9302325581395349,40.0
Esquina,1.0,1.0,1.0,40.0
Filho,0.9375,1.0,0.967741935483871,30.0
Maca,1.0,0.975,0.9873417721518988,40.0
Medo,1.0,1.0,1.0,30.0
Ruim,1.0,1.0,1.0,30.0
Sapo,1.0,1.0,1.0,30.0
Vacina,1.0,0.9333333333333333,0.9655172413793104,30.0
Vontade,1.0,1.0,1.0,30.0
